CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
7601	8121	8	0.9697	-14.016
7500	8005	8	0.9419	-58.042
7500	8070	8	0.9492	30.011
7633	8174	8	0.9144	-31.042
8174	8177	8	0.9135	17.027
6882	6936	8	0.9531	44.026
6936	8036	8	0.95	15.995
6968	7500	8	0.9744	-14.016
7627	7633	8	0.9403	17.026
7627	8177	8	0.9407	3.011
6882	7460	8	0.9538	30.011
6968	8005	8	0.9374	-72.057
6936	7460	8	0.9596	-14.015
7076	8177	8	0.9518	-11.004
8005	8036	8	0.9569	44.026
7500	8036	8	0.978	-14.016
7633	8177	8	0.9271	-14.015
6882	7414	8	0.9558	-14.016
7081	8177	8	0.9196	-28.031
7460	8036	8	0.965	30.010
6936	7547	8	0.934	74.037
7172	7663	8	0.8326	3.011
6882	7375	8	0.9447	-58.042
7547	7601	8	0.9672	44.026
7041	7601	8	0.9687	-14.016
8036	8121	8	0.9568	88.053
7460	7500	8	0.9808	44.026
7009	7500	8	0.9447	-58.042
6882	6968	8	0.9541	88.052
7009	7041	8	0.9655	44.026
6882	7964	8	0.9478	-28.031
6968	7547	8	0.9476	30.011
6936	7009	8	0.9551	88.052
6936	6968	8	0.9647	44.026
7076	7633	8	0.956	3.011
8121	8174	8	0.9289	44.026
6936	8005	8	0.9509	-28.031
7041	7076	8	0.9642	44.026
6968	8036	8	0.9743	-28.031
7041	8121	8	0.9831	-28.031
7913	9185	9	0.9172	-144.100
9410	11094	9	0.9235	-174.141
4908	9192	9	0.9581	0.000
8038	10376	9	0.9795	-40.115
5211	6858	9	0.9591	46.005
7810	9779	9	0.9189	-130.079
7137	8405	9	0.9679	-53.945
7602	7632	9	0.9766	44.026
10011	10933	9	0.9192	0.000
4313	6486	9	0.9285	14.023
6054	6132	9	0.9605	-42.010
10933	11194	9	0.951	56.063
6539	8400	9	0.9625	-60.022
4908	8028	9	0.9655	0.001
6887	7602	9	0.9456	-24.057
7602	8136	9	0.9582	-14.016
7810	9473	9	0.9302	-130.079
8400	9192	9	0.9569	-0.000
8774	9410	9	0.9459	0.001
8405	10376	9	0.9785	-40.115
4908	5211	9	0.9776	0.001
8216	10016	9	0.9195	-60.210
4908	8400	9	0.9685	0.000
7270	10376	9	0.9709	-196.129
5834	8400	9	0.9641	-30.011
8774	9363	9	0.9456	30.012
7810	8216	9	0.9494	-17.966
7137	7544	9	0.9682	-44.026
4661	5066	9	0.92	-0.001
7544	8163	9	0.9527	74.037
7544	8136	9	0.954	30.010
7647	7908	9	0.9795	-304.006
3290	10564	9	0.9847	-152.247
5834	6486	9	0.9534	-47.977
6970	8136	9	0.9268	60.020
7647	8745	9	0.9671	-141.998
4313	5086	9	0.9443	15.995
6887	7137	9	0.9473	-24.057
5086	5628	9	0.9377	15.995
7544	7647	9	0.953	132.078
7073	7544	9	0.9502	-102.068
4908	7124	9	0.9449	0.002
4257	8405	9	0.9713	-22.122
9078	9410	9	0.9259	26.015
6858	8028	9	0.9542	-46.005
8028	8400	9	0.9805	-0.000
7194	7567	9	0.9178	-104.029
5211	6539	9	0.9548	60.021
7124	8400	9	0.9484	-0.001
8745	9410	9	0.9271	-14.016
4654	5086	9	0.9304	15.994
8216	9363	9	0.9517	43.954
7090	8136	9	0.9628	30.011
6858	8400	9	0.9486	-46.006
8774	11094	9	0.9258	-174.140
8136	8163	9	0.9762	44.026
4908	6132	9	0.9579	-42.010
7137	7632	9	0.9749	44.026
9192	9887	9	0.9648	0.000
7908	10564	9	0.9834	121.893
7090	7137	9	0.9641	44.027
5834	8028	9	0.9556	-30.010
5211	6486	9	0.9526	-17.967
6054	9192	9	0.9508	0.001
11094	11194	9	0.9507	56.063
5211	6054	9	0.9687	-0.001
7632	7647	9	0.9753	44.026
6272	6301	9	0.9379	27.995
5211	5834	9	0.9615	30.010
6054	8028	9	0.9668	0.001
8774	10933	9	0.9277	-174.140
6539	6858	9	0.9686	-14.016
7124	9192	9	0.9411	-0.001
7632	8163	9	0.9664	-14.016
5211	8400	9	0.9649	-0.000
8038	8745	9	0.9635	0.000
7073	8405	9	0.9635	-111.987
5086	10376	9	0.9178	-84.206
5211	9192	9	0.9597	-0.000
6054	6858	9	0.9605	46.007
7544	10376	9	0.953	-50.034
9152	10933	9	0.9354	0.001
7137	7602	9	0.9686	0.000
7632	8405	9	0.9717	-97.971
4257	7544	9	0.9486	-12.203
5834	6539	9	0.9608	30.011
9363	10376	9	0.9853	-56.111
8745	9363	9	0.9738	15.995
6539	8028	9	0.9691	-60.021
8745	8774	9	0.9283	-14.016
6132	9980	9	0.9479	-196.218
7567	9185	9	0.9214	-26.052
7090	10376	9	0.9668	-50.034
7090	7632	9	0.9709	88.053
6747	9473	9	0.9354	-130.078
7194	7913	9	0.9325	14.018
7090	7544	9	0.9616	0.001
7040	8136	9	0.9424	-28.031
9410	10933	9	0.9275	-174.141
6747	8216	9	0.9424	-17.966
4313	6310	9	0.9298	76.016
4257	7090	9	0.9624	-12.203
8405	10016	9	0.9466	-88.169
3290	7647	9	0.9822	29.865
7124	8028	9	0.9424	-0.001
9152	11094	9	0.9298	0.001
5834	6054	9	0.9619	-30.012
6486	7444	9	0.9259	17.968
3860	3945	9	0.9237	-0.000
7040	7602	9	0.941	-14.016
7137	8216	9	0.9575	-81.904
6747	9779	9	0.9233	-130.078
7647	8405	9	0.976	-141.997
5086	5752	9	0.9245	15.995
5211	6132	9	0.9664	-42.011
7270	8038	9	0.9665	-156.014
7908	9363	9	0.9807	178.003
5834	6858	9	0.9611	15.995
